iter	Passed	Remaining
0	152	335492
1	156	172266
2	158	116375
3	160	88306
4	162	71446
5	164	60255
6	166	52252
7	169	46497
8	172	41937
9	173	38102
10	175	34873
11	176	32170
12	177	29884
13	178	27924
14	180	26229
15	181	24749
16	182	23430
17	183	22251
18	185	21282
19	187	20427
20	188	19571
21	189	18769
22	190	18060
23	191	17380
24	192	16755
25	193	16176
26	194	15655
27	195	15165
28	196	14702
29	197	14266
30	198	13860
31	199	13484
32	200	13195
33	202	12914
34	204	12640
35	205	12339
36	206	12052
37	207	11779
38	207	11522
39	208	11277
40	209	11044
41	210	10826
42	211	10622
43	212	10429
44	213	10241
45	214	10056
46	216	9925
47	225	10091
48	226	9922
49	226	9759
50	227	9602
51	228	9448
52	229	9307
53	230	9171
54	232	9085
55	234	8994
56	236	8884
57	237	8770
58	238	8658
59	239	8546
60	240	8432
61	241	8329
62	242	8221
63	243	8116
64	243	8014
65	244	7917
66	245	7823
67	247	7744
68	248	7678
69	250	7630
70	252	7557
71	252	7477
72	254	7405
73	255	7331
74	256	7255
75	257	7185
76	257	7113
77	258	7043
78	259	6975
79	260	6913
80	261	6852
81	263	6817
82	265	6776
83	266	6725
84	268	6670
85	269	6618
86	270	6566
87	271	6516
88	272	6460
89	273	6406
90	274	6351
91	274	6298
92	275	6245
93	276	6194
94	277	6144
95	278	6112
96	281	6105
97	283	6079
98	284	6044
99	285	6005
100	286	5962
101	287	5921
102	288	5883
103	289	5840
104	290	5799
105	291	5758
106	292	5721
107	293	5680
108	295	5661
109	296	5635
110	297	5608
111	298	5571
112	299	5536
113	300	5501
114	301	5467
115	302	5437
116	303	5407
117	304	5373
118	305	5340
119	306	5307
120	306	5274
121	307	5242
122	308	5210
123	309	5189
124	311	5173
125	313	5157
126	314	5134
127	315	5105
128	316	5076
129	317	5048
130	318	5025
131	319	4997
132	319	4970
133	320	4943
134	321	4916
135	322	4890
136	323	4864
137	323	4839
138	324	4814
139	326	4807
140	328	4792
141	329	4780
142	331	4762
143	332	4743
144	333	4725
145	334	4711
146	335	4691
147	336	4668
148	337	4645
149	338	4624
150	339	4602
151	340	4581
152	341	4572
153	343	4559
154	343	4538
155	344	4517
156	345	4497
157	346	4477
158	347	4456
159	348	4437
160	348	4418
161	349	4400
162	350	4382
163	351	4363
164	352	4345
165	353	4326
166	353	4308
167	354	4292
168	355	4275
169	357	4265
170	358	4253
171	359	4238
172	360	4224
173	361	4208
174	362	4191
175	363	4174
176	363	4158
177	364	4142
178	365	4126
179	366	4110
180	367	4094
181	367	4079
182	368	4063
183	369	4049
184	370	4033
185	371	4019
186	371	4004
187	373	3999
188	374	3989
189	375	3977
190	377	3965
191	377	3953
192	378	3939
193	379	3925
194	380	3911
195	381	3898
196	382	3884
